,Protein1,Protein2,Interacting
3829,P43321,Q06819,1
3830,P38262,P11978,1
3831,P32259,P19263,1
3832,P25359,P38792,1
3833,Q12277,P38792,1
3834,P39926,P40357,1
3835,Q02574,P38827,1
3836,P47017,P47017,1
3837,P47017,P47093,1
3838,P57743,P57743,1
3839,P40089,P40089,1
3840,Q03308,P12868,1
3841,P12868,P20795,1
3842,Q12390,Q12390,1
3843,Q05787,Q08109,1
3844,P49956,P40348,1
3845,P38760,Q99257,1
3846,Q06208,P29539,1
3847,P11978,Q03661,1
3848,P39073,P03069,1
3849,Q12009,Q03774,1
3850,Q08920,P07260,1
3851,P43321,P36048,1
3852,P41697,P41697,1
3853,P34162,P04386,1
3854,P32628,P04050,1
3855,Q08204,Q07913,1
3856,Q08204,P87108,1
3857,P25655,P46677,1
3858,P25385,P00729,1
3859,P04386,P32570,1
3860,Q12495,Q99314,1
3861,Q12415,P33339,1
3862,P18239,P87108,1
3863,Q07913,Q12749,1
3864,Q05021,P46677,1
3865,P53112,P53112,1
3866,P38013,P38013,1
3867,P25043,P32628,1
3868,P32628,P22141,1
3869,Q06406,P43321,1
3870,Q06675,Q02732,1
3871,Q02732,P32504,1
3872,Q02732,P36012,1
3873,P53298,Q02732,1
3874,Q06675,Q06675,1
3875,P53298,Q06675,1
3876,Q06675,P35201,1
3877,Q06675,P52286,1
3878,P53298,P32504,1
3879,P40969,P53298,1
3880,Q02732,P40969,1
3881,P22216,P22216,1
3882,Q04338,P27801,1
3883,P20795,Q03308,1
3884,Q03308,Q07468,1
3885,P38111,P22138,1
3886,P53847,P53622,1
3887,Q12495,P21691,1
3888,Q08162,Q08491,1
3889,P38792,P38801,1
3890,P38801,Q12149,1
3891,P53378,P39723,1
3892,P46675,P38863,1
3893,P39723,P39723,1
3894,P43132,P04050,1
3895,P06104,P43132,1
3896,P38798,Q08491,1
3897,P29340,P29340,1
3898,P80667,Q04370,1
3899,Q04370,Q08215,1
3900,P80667,P80667,1
3901,Q08215,P80667,1
3902,P80667,P49334,1
3903,P53112,Q08215,1
3904,P29340,P39718,1
3905,P39718,Q08215,1
3906,P38431,P32911,1
3907,P38431,P39935,1
3908,P14682,P14682,1
3909,P04050,Q12102,1
3910,P04050,Q06632,1
3911,P39081,P04050,1
3912,Q12102,Q12102,1
3913,P39081,Q06632,1
3914,Q08685,Q06632,1
3915,Q06224,Q08685,1
3916,P52917,Q04272,1
3917,P38111,P22216,1
3918,P32911,P39935,1
3919,P53551,P22216,1
3920,P39718,Q04370,1
3921,P52917,Q06263,1
3922,Q08491,P30771,1
3923,P53197,Q00684,1
3924,P09798,P53197,1
3925,P32600,P41318,1
3926,P32600,Q08236,1
3927,Q04749,P32600,1
3928,Q08236,P41318,1
3929,P41318,Q04749,1
3930,P14682,P52286,1
3931,P07834,P38634,1
3932,P32504,P17106,1
3933,P17106,P40969,1
3934,P35203,P17106,1
3935,P17106,P17106,1
3936,Q03071,Q03071,1
3937,P29469,P09119,1
3938,Q12018,Q08446,1
3939,P17106,P35201,1
3940,P32445,Q04740,1
3941,P06633,P06633,1
3942,P36057,P38353,1
3943,P40515,Q06168,1
3944,P40565,P13393,1
3945,P03962,P03962,1
3946,P33754,P32915,1
3947,P38353,P38428,1
3948,P38353,P14906,1
3949,P38353,P32842,1
3950,P33767,P38428,1
3951,P33767,P32842,1
3952,P14906,P40073,1
3953,P43555,P32912,1
3954,P43555,P36057,1
3955,P10614,P53507,1
3956,P14906,P33767,1
3957,P38993,P32842,1
3958,P38881,Q03195,1
3959,P38881,P00045,1
3960,P40527,P38881,1
3961,P38881,P07143,1
3962,P32368,P36057,1
3963,Q05787,P39986,1
3964,P00128,P39742,1
3965,P39742,P40073,1
3966,P39742,P40515,1
3967,P39742,P32341,1
3968,P32915,P36057,1
3969,Q04651,P36057,1
3970,Q04651,P32842,1
3971,Q12675,P37296,1
3972,P38993,P36057,1
3973,P21825,P38993,1
3974,P23968,Q02795,1
3975,P36057,Q02795,1
3976,Q03723,Q06135,1
3977,P38428,P33448,1
3978,P06782,P06782,1
3979,P03069,P03069,1
3980,P39016,P39008,1
3981,P39016,P31384,1
3982,Q12517,P39016,1
3983,P39517,P39016,1
3984,P25339,P39008,1
3985,P32855,P32844,1
3986,P19658,P32844,1
3987,P32844,Q06245,1
3988,Q07540,Q07540,1
3989,P12904,P12904,1
3990,O94742,Q06103,1
3991,O94742,P40016,1
3992,P38304,P13393,1
3993,P18888,P32628,1
3994,P18888,P14736,1
3995,P35845,Q02630,1
3996,P29055,Q12373,1
3997,P09547,P22082,1
3998,P43554,P22082,1
3999,P53628,P22082,1
4000,P22082,Q12406,1
4001,Q05123,P22082,1
4002,P18480,Q12406,1
4003,P32591,P09547,1
4004,P09547,P43554,1
4005,P53628,P09547,1
4006,P09547,Q12406,1
4007,Q05123,P09547,1
4008,P18888,P53628,1
4009,P32591,P18888,1
4010,P13393,P32585,1
4011,P34162,P13393,1
4012,P30656,P23724,1
4013,P30656,P23639,1
4014,P40302,P30656,1
4015,P30656,P21242,1
4016,Q00684,P53894,1
4017,P30656,P25043,1
4018,P53894,P06786,1
4019,Q12163,Q03497,1
4020,P25294,P32589,1
4021,P30656,P40303,1
4022,P30656,P23638,1
4023,P07703,P08518,1
4024,P38822,P47068,1
4025,Q03497,P38822,1
4026,P47076,P35718,1
4027,P20434,P20436,1
4028,P27999,P20436,1
4029,P20436,P38902,1
4030,P47076,P07703,1
4031,P20436,P47076,1
4032,P22139,P47076,1
4033,P32639,P36048,1
4034,P36048,P32357,1
4035,P36161,P46673,1
4036,P02829,Q12449,1
4037,P30665,P53091,1
4038,P20606,P15303,1
4039,P14284,P38927,1
4040,P53220,P32897,1
4041,P25604,P42939,1
4042,P14907,Q06142,1
4043,P15873,P15873,1
4044,Q04049,P15873,1
4045,P32361,P32361,1
4046,P40416,P40416,1
4047,P32912,P20795,1
4048,P20795,Q07468,1
4049,P40955,Q12114,1
4050,P46675,P53267,1
4051,P02829,P41811,1
4052,P02829,P25638,1
4053,P38768,P02829,1
4054,Q08231,P46674,1
4055,Q6WNK7,Q08231,1
4056,P38811,P53930,1
4057,Q06337,P53930,1
4058,P53201,Q05471,1
4059,Q12692,Q05471,1
4060,Q08649,P53201,1
4061,P53201,Q12464,1
4062,P53201,P38811,1
4063,P53201,Q06337,1
4064,P53201,P53930,1
4065,P02293,Q05471,1
4066,P20053,P32639,1
4067,P32481,P09064,1
4068,Q12464,P53115,1
4069,P16370,P04050,1
4070,P20435,P16370,1
4071,P41896,P20434,1
4072,P41896,P04050,1
4073,P41896,P41895,1
4074,P32481,P38431,1
4075,P32497,P40217,1
4076,P32497,Q04067,1
4077,Q07930,P40565,1
4078,Q05919,Q02948,1
4079,P32523,Q12046,1
4080,P09798,P40577,1
4081,P09798,Q12379,1
4082,Q04601,P09798,1
4083,P53040,P50875,1
4084,P06704,Q08231,1
4085,P50875,Q6WNK7,1
4086,P80428,Q05471,1
4087,Q12464,Q05471,1
4088,Q03433,Q05471,1
4089,Q05471,P53930,1
4090,Q05471,P38326,1
4091,P53201,P38326,1
4092,Q03433,Q12464,1
4093,Q03433,Q12509,1
4094,P38326,Q12692,1
4095,Q12692,Q03433,1
4096,Q12692,P80428,1
4097,Q12692,P43572,1
4098,Q12432,P53930,1
4099,P53930,P38806,1
4100,Q12432,P53201,1
4101,P38806,P53201,1
4102,P80428,P53201,1
4103,P53201,P43572,1
4104,Q12464,Q12692,1
4105,Q12432,P39995,1
4106,P43572,P38806,1
4107,P53930,Q12464,1
4108,P53930,P80428,1
4109,Q12692,P53067,1
4110,P53201,Q03433,1
4111,Q12692,P53201,1
4112,Q12692,P38811,1
4113,P53930,Q12692,1
4114,P32458,P32458,1
4115,P25342,P25342,1
4116,P36095,P36095,1
4117,P53178,P53178,1
4118,P32639,P49704,1
4119,P40515,P36130,1
4120,P32524,Q07350,1
4121,P53853,P53853,1
4122,P53617,P04050,1
4123,P38996,P53617,1
4124,P53617,P53617,1
4125,Q03338,P32639,1
4126,P40018,P32639,1
4127,P40070,P32639,1
4128,Q06819,P32639,1
4129,P27692,P32914,1
4130,P53853,Q07794,1
4131,P32639,Q02260,1
4132,P32639,P39990,1
4133,P53192,P40056,1
4134,P32769,P33309,1
4135,P32797,P32797,1
4136,P46680,P38885,1
4137,P25491,P89105,1
4138,Q99257,P04147,1
4139,P35189,P39009,1
4140,Q06164,P07251,1
4141,Q06164,P17709,1
4142,Q06164,P15992,1
4143,Q04660,P00830,1
4144,P25694,Q04660,1
4145,P17709,Q04660,1
4146,Q04660,P15992,1
4147,Q04660,P16474,1
4148,Q04660,P00924,1
4149,Q04660,P04397,1
4150,P53877,P07251,1
4151,P09624,P53877,1
4152,Q12464,P53877,1
4153,P02557,P53877,1
4154,P53877,P25491,1
4155,P00830,P15891,1
4156,P07149,P15891,1
4157,P04385,P15891,1
4158,P15891,P09624,1
4159,P38316,P07251,1
4160,P00830,P38316,1
4161,P38316,P25694,1
4162,P04385,P38316,1
4163,P38316,P15992,1
4164,P02994,P11076,1
4165,P38011,P07342,1
4166,P15992,P25342,1
4167,P32797,P02994,1
4168,P16522,P00830,1
4169,Q12018,P18239,1
4170,P38316,P18239,1
4171,P38316,P08518,1
4172,Q12464,P38316,1
4173,P38316,P02994,1
4174,P38316,P02557,1
4175,P32861,P38316,1
4176,P16140,P38316,1
4177,P53090,Q12380,1
4178,P07251,Q12380,1
4179,Q12380,P32582,1
4180,Q12380,P04385,1
4181,P04397,Q12380,1
4182,P17709,Q12380,1
4183,Q12380,P16474,1
4184,Q12380,P02557,1
4185,P32861,Q12380,1
4186,P00924,P38153,1
4187,P02557,P38153,1
4188,P38153,P25491,1
4189,P00924,P11076,1
4190,P11076,P04147,1
4191,P11076,P34760,1
4192,P11076,P46655,1
4193,P16140,P38011,1
4194,P16474,P41695,1
4195,P16140,P41695,1
4196,P53323,P00830,1
4197,P53323,P25694,1
4198,P15992,P53323,1
4199,P18239,P53323,1
4200,P53323,P25491,1
4201,P04385,P12962,1
4202,P17709,P12962,1
4203,P12962,P02557,1
4204,P36130,P07251,1
4205,P00830,P36130,1
4206,P04385,P36130,1
4207,P36130,P15992,1
4208,P36130,P16140,1
4209,P25694,P33322,1
4210,P33322,P00924,1
4211,P33322,P31539,1
4212,P33322,P15992,1
4213,P07342,P33322,1
4214,P16861,P33322,1
4215,P53894,P04385,1
4216,P08518,P53894,1
4217,P53894,P02557,1
4218,P16140,P53894,1
4219,P07251,P31384,1
4220,P31384,P00830,1
4221,P31384,P04385,1
4222,P31384,P02557,1
4223,P31384,P16140,1
4224,P25491,P31384,1
4225,P00830,P25342,1
4226,P25342,P32582,1
4227,P04385,P25342,1
4228,P25342,P04807,1
4229,P28241,P25342,1
4230,P07342,P25342,1
4231,P16140,P25342,1
4232,P07149,P32458,1
4233,P15992,P32458,1
4234,P04147,P32458,1
4235,P08518,P32458,1
4236,P02994,P32458,1
4237,P32324,P32797,1
4238,P00924,P32797,1
4239,P32797,P02829,1
4240,P16474,P32797,1
4241,Q00684,P07251,1
4242,Q00684,P15992,1
4243,Q00684,P18239,1
4244,P16522,P18239,1
4245,P16522,P02994,1
4246,P32457,P00924,1
4247,P32457,P16140,1
4248,P04385,P07260,1
4249,P07260,P04397,1
4250,P07260,P16474,1
4251,P02994,P25694,1
4252,Q12018,P32324,1
4253,Q12018,P02829,1
4254,Q12018,P11986,1
4255,Q12018,P16140,1
4256,P32324,P38011,1
4257,P38153,P02994,1
4258,P07251,P53323,1
4259,P53323,P02557,1
4260,P07260,P06782,1
4261,Q12018,P07251,1
4262,P00830,P38153,1
4263,P33322,P32324,1
4264,P16522,P07251,1
4265,P41695,P00924,1
4266,P31384,P15992,1
4267,P17709,P25342,1
4268,Q00684,P17709,1
4269,P09624,P53323,1
4270,P04807,Q12380,1
4271,P07251,P38153,1
4272,P04385,Q00684,1
4273,P08518,P53323,1
4274,P08518,P22696,1
4275,P04397,P32502,1
4276,P07251,P06243,1
4277,P06243,P00830,1
4278,P06243,P25694,1
4279,P04385,P06243,1
4280,P02994,P06243,1
4281,P02557,P06243,1
4282,P16140,P06243,1
4283,P25491,P06243,1
4284,P04819,P02994,1
4285,P25491,P04819,1
4286,P07251,P04819,1
4287,P04819,P00830,1
4288,P04385,P04819,1
4289,P04819,P17709,1
4290,P04819,P09624,1
4291,P04819,P32861,1
4292,P04819,P16140,1
4293,P15992,P15790,1
4294,P04147,P15790,1
4295,P06787,P00830,1
4296,P07149,P06787,1
4297,P06787,P15992,1
4298,P18239,P06787,1
4299,P02994,P06787,1
4300,P06787,P16140,1
4301,P33313,P00830,1
4302,P33313,P04397,1
4303,P25694,P53622,1
4304,P53622,P32324,1
4305,P53622,P00924,1
4306,P15992,P53622,1
4307,P02829,P53622,1
4308,P17709,P33308,1
4309,Q03957,P25694,1
4310,P15992,Q03957,1
4311,P46963,P00830,1
4312,P04807,P39009,1
4313,P02557,P39009,1
4314,P25694,P22696,1
4315,P00924,P08417,1
4316,P25694,P39729,1
4317,P39729,P02994,1
4318,P02829,P04385,1
4319,P22515,P04385,1
4320,P04385,P38885,1
4321,P00924,P32481,1
4322,P12754,P00924,1
4323,P15992,P12754,1
4324,P07342,P12754,1
4325,P16140,P12754,1
4326,P25694,P32502,1
4327,P04385,P32502,1
4328,P02829,P32502,1
4329,P32502,P04807,1
4330,P16474,P32502,1
4331,P06243,Q12464,1
4332,P04147,Q03957,1
4333,P07342,P53622,1
4334,P04397,P12754,1
4335,P32502,P07342,1
4336,P35203,P04385,1
4337,P35203,P16140,1
4338,P15992,P46963,1
4339,Q12464,P46963,1
4340,P46963,P02557,1
4341,P22204,P07251,1
4342,P22204,P00830,1
4343,P22204,P07149,1
4344,P15992,P22204,1
4345,P02829,P22204,1
4346,P09624,P22204,1
4347,P08518,P22204,1
4348,Q12464,P22204,1
4349,P02557,P22204,1
4350,P22204,P46655,1
4351,P16474,Q08949,1
4352,Q08949,P18239,1
4353,Q08949,P02557,1
4354,Q08949,P16140,1
4355,P16861,P32502,1
4356,P02829,P06243,1
4357,P07149,P04819,1
4358,P15992,P39009,1
4359,P32502,P02557,1
4360,P14741,P16140,1
4361,P14904,P15992,1
4362,P04385,P42838,1
4363,P17255,P14741,1
4364,Q12446,P25491,1
4365,P17629,P16140,1
4366,P12954,P09624,1
4367,P07251,P29295,1
4368,P29295,P00830,1
4369,P17709,P29295,1
4370,P15992,P29295,1
4371,P29295,P04147,1
4372,P29295,P02557,1
4373,P29295,P32861,1
4374,P22943,P02994,1
4375,P04147,P13902,1
4376,P13902,P25491,1
4377,P16474,P40565,1
4378,P40565,P04147,1
4379,P14904,P00924,1
4380,P14904,P17255,1
4381,Q12446,P07251,1
4382,P04385,Q12446,1
4383,Q12446,Q12464,1
4384,P02557,Q12446,1
4385,P32861,Q12446,1
4386,Q12446,P16140,1
4387,Q04377,P00830,1
4388,P09624,Q08387,1
4389,P02829,Q08387,1
4390,Q08387,Q12464,1
4391,P02557,Q08387,1
4392,P07251,P38203,1
4393,P00830,P38203,1
4394,P38203,P04397,1
4395,P38203,P02557,1
4396,P25694,P40070,1
4397,Q02574,P07149,1
4398,Q02574,P04385,1
4399,P29295,P25694,1
4400,P18239,Q12446,1
4401,P38203,P02994,1
4402,P25491,P32502,1
4403,Q12446,P00830,1
4404,P04397,P12954,1
4405,P12954,P17709,1
4406,P32502,P46655,1
4407,P25694,P15442,1
4408,P14741,P32582,1
4409,P32324,P14741,1
4410,P00924,P14741,1
4411,P14741,P04385,1
4412,P14741,P04397,1
4413,P15992,P14741,1
4414,P02557,P14741,1
4415,P04385,P39984,1
4416,P04397,P39984,1
4417,P39984,P15992,1
4418,P39984,P28241,1
4419,P39984,P07342,1
4420,P02994,P39984,1
4421,P39984,P00830,1
4422,P24719,P25694,1
4423,P25491,P42841,1
4424,P00924,P24719,1
4425,P02994,P24719,1
4426,P16474,Q02574,1
4427,Q02574,P16140,1
4428,P25491,Q02574,1
4429,P00924,Q12343,1
4430,Q12343,P07342,1
4431,P17255,Q12343,1
4432,P34760,Q12343,1
4433,P24719,P00830,1
4434,P24719,P04397,1
4435,P24719,P07342,1
4436,P11986,P24719,1
4437,P16474,P24719,1
4438,P06782,P24719,1
4439,P16140,P24719,1
4440,P04147,P27705,1
4441,Q12083,P07251,1
4442,Q12083,P17709,1
4443,Q12083,P04385,1
4444,Q12083,P16140,1
4445,P43563,P15992,1
4446,P43563,P17709,1
4447,P02829,P43563,1
4448,P43563,P32861,1
4449,P11986,P43601,1
4450,P52891,P25694,1
4451,P38713,P04147,1
4452,P15992,P39946,1
4453,P40960,P00924,1
4454,P16474,P08018,1
4455,P39081,P08518,1
4456,P15992,P25644,1
4457,P00830,P08018,1
4458,P00924,P08018,1
4459,P08018,P09624,1
4460,P02994,P39081,1
4461,P32861,P40316,1
4462,P27801,P07251,1
4463,P15992,P27801,1
4464,P27801,P02829,1
4465,P27801,P02557,1
4466,Q04370,P07149,1
4467,P39108,P00830,1
4468,P04385,P39108,1
4469,P39108,P04397,1
4470,P17709,P39108,1
4471,P31116,P39108,1
4472,P39108,P15992,1
4473,P17157,P00924,1
4474,P17157,P02829,1
4475,P07342,P39108,1
4476,P02557,P39108,1
4477,P16140,P39108,1
4478,P25491,P39108,1
4479,P07251,P16861,1
4480,P16861,P02994,1
4481,P42841,P15992,1
4482,P17157,P25694,1
4483,P32324,P17157,1
4484,P28241,P17157,1
4485,P07251,P15873,1
4486,P15873,P17709,1
4487,P53043,P07251,1
4488,P17709,P53043,1
4489,P53043,P09624,1
4490,P39946,P00924,1
4491,P16474,P40960,1
4492,P02557,Q12083,1
4493,P43601,P38885,1
4494,P00830,Q07350,1
4495,P00924,P20053,1
4496,P19735,P28241,1
4497,P40352,P15992,1
4498,P19735,P17709,1
4499,P20053,P02829,1
4500,P22141,P02994,1
4501,P25694,Q07350,1
4502,Q07350,P00924,1
4503,P04385,Q07350,1
4504,Q07350,P31116,1
4505,P02994,Q07350,1
4506,P34760,Q07350,1
4507,Q07350,P16140,1
4508,P32524,P25694,1
4509,P02994,P32524,1
4510,P20053,P00830,1
4511,P15992,P20053,1
4512,P53090,P19735,1
4513,P25694,P19735,1
4514,P32582,P19735,1
4515,P32324,P19735,1
4516,P00924,P19735,1
4517,P19735,P04385,1
4518,P04397,P19735,1
4519,P19735,P31116,1
4520,P19735,P31539,1
4521,P02829,P19735,1
4522,P19735,P16474,1
4523,P17967,P19735,1
4524,P19735,P16861,1
4525,P16140,P19735,1
4526,P19735,P46655,1
4527,P00830,P25635,1
4528,P25635,P25491,1
4529,P28519,P16474,1
4530,P16474,P07276,1
4531,P32641,P07251,1
4532,P00830,P32641,1
4533,P04385,P32641,1
4534,P02829,P32641,1
4535,P32641,P16474,1
4536,P32641,P08518,1
4537,Q12464,P32641,1
4538,P02557,P32641,1
4539,P16140,P32641,1
4540,P32641,P25491,1
4541,P40352,P00830,1
4542,P04397,P40352,1
4543,P09624,P40352,1
4544,P18239,P06839,1
4545,Q12464,P06839,1
4546,P06839,P02557,1
4547,P06839,P16140,1
4548,P06839,P04385,1
4549,P06839,P16474,1
4550,P07251,Q04049,1
4551,Q04049,P00830,1
4552,P17709,Q04049,1
4553,Q04049,P09624,1
4554,P02994,P25454,1
4555,P22216,P00830,1
4556,P22216,P16474,1
4557,P02994,P26755,1
4558,P40348,P00830,1
4559,P25491,P40348,1
4560,P38629,P00830,1
4561,P04397,P38629,1
4562,P38629,P15992,1
4563,Q12464,P38629,1
4564,P38629,P16140,1
4565,P40352,P32861,1
4566,P20053,P25694,1
4567,P06839,P07251,1
4568,P00830,P06839,1
4569,P40352,P16474,1
4570,P19735,P04807,1
4571,P22141,P15992,1
4572,P32861,P19735,1
4573,P06839,P15992,1
4574,P02829,P06839,1
4575,P25491,Q04049,1
4576,P38629,P02557,1
4577,P38629,P07251,1
4578,P22216,P07251,1
4579,P06779,P00830,1
4580,P06779,P25694,1
4581,P02829,P22336,1
4582,P16474,P22336,1
4583,P22336,P07251,1
4584,P22336,P04385,1
4585,P22336,P15992,1
4586,P02557,P22336,1
4587,P16140,P22336,1
4588,P00830,P26754,1
4589,P07251,P26755,1
4590,P00830,P26755,1
4591,P26755,P04397,1
4592,P17709,P26755,1
4593,P26755,P15992,1
4594,P26755,P02829,1
4595,P26755,P16474,1
4596,P18239,P26755,1
4597,P26755,P02557,1
4598,P26755,P32861,1
4599,P04385,P26755,1
4600,Q06506,P15992,1
4601,P41811,P07149,1
4602,P41811,P16861,1
4603,P53011,P07342,1
4604,P25491,P38262,1
4605,P07703,P02994,1
4606,P25491,P41811,1
4607,P38629,P02829,1
4608,P40339,P07251,1
4609,P40339,P00830,1
4610,P25694,P40339,1
4611,P17709,P40339,1
4612,P02829,P40339,1
4613,P16474,P40339,1
4614,P09624,P40339,1
4615,P32582,Q12749,1
4616,Q12749,P41338,1
4617,P08417,Q12749,1
4618,P04807,Q12749,1
4619,Q12749,P34760,1
4620,Q12749,P43616,1
4621,P16474,Q12749,1
4622,P25491,Q12749,1
4623,P28000,P07251,1
4624,P28000,P00830,1
4625,P09624,P28000,1
4626,P28000,P02994,1
4627,P02557,P28000,1
4628,P28000,P16140,1
4629,P07251,P07703,1
4630,P00830,P07703,1
4631,P07703,P25694,1
4632,P07703,P00924,1
4633,P07703,P07149,1
4634,P04397,P07703,1
4635,P16474,P07703,1
4636,P07703,P16861,1
4637,P07703,Q12464,1
4638,P07703,P02557,1
4639,P16140,P07703,1
4640,P07251,Q12250,1
4641,P07251,P05317,1
4642,P05317,P00830,1
4643,P17709,P05317,1
4644,P05317,P02994,1
4645,P05317,P25491,1
4646,P16474,P39940,1
4647,P39940,P08518,1
4648,P16140,P39940,1
4649,P15992,Q04491,1
4650,P41811,P07251,1
4651,P00924,P41811,1
4652,P41811,P04385,1
4653,P15992,P41811,1
4654,P28241,P41811,1
4655,P41811,P07342,1
4656,P41811,Q12464,1
4657,P16140,P41811,1
4658,P04385,P36068,1
4659,P34760,P38968,1
4660,P53090,P53011,1
4661,P00924,P53011,1
4662,P53011,P04397,1
4663,P38262,P00830,1
4664,P02829,P32259,1
4665,P02994,P32259,1
4666,P25491,P32259,1
4667,P17709,P38272,1
4668,P08518,P41811,1
4669,P38262,P00924,1
4670,P10964,P25694,1
4671,P32861,P07703,1
4672,Q06506,P38885,1
4673,P15992,P38262,1
4674,P53090,Q12749,1
4675,P41811,P25694,1
4676,P07703,P04385,1
4677,P07703,P15992,1
4678,P06782,P25694,1
4679,P02994,P18851,1
4680,P04385,P53632,1
4681,Q02821,Q12464,1
4682,P06701,P07251,1
4683,P06701,P00830,1
4684,P06701,P17709,1
4685,P06701,P15992,1
4686,P25491,P06701,1
4687,P11978,Q01477,1
4688,P15992,P11978,1
4689,P11978,P16140,1
4690,P07251,P11978,1
4691,P53965,P04385,1
4692,P17709,P53965,1
4693,P53965,P32861,1
4694,Q02793,P02557,1
4695,P00924,P39928,1
4696,P15992,P39928,1
4697,P07342,P39928,1
4698,P07149,P06782,1
4699,P04385,P06782,1
4700,P02994,P06782,1
4701,P02557,P06782,1
4702,P25694,P12904,1
4703,P16140,Q00916,1
4704,P25491,Q00916,1
4705,Q04477,P25694,1
4706,P04385,Q04477,1
4707,Q04477,P04397,1
4708,P15992,Q04477,1
4709,Q04477,P07342,1
4710,P16474,Q04477,1
4711,P16140,Q04477,1
4712,Q02821,P32324,1
4713,P00924,Q03497,1
4714,P16140,Q03497,1
4715,P18851,P00924,1
4716,P18851,P04385,1
4717,P04397,P18851,1
4718,P18851,P15992,1
4719,P02829,P18851,1
4720,P18851,P11986,1
4721,P16140,P18851,1
4722,P25491,P18851,1
4723,P18851,P46655,1
4724,P00924,P32911,1
4725,P04807,P32911,1
4726,P32911,P16474,1
4727,P16861,P32911,1
4728,P46655,P32911,1
4729,P16140,P20459,1
4730,P04385,Q12379,1
4731,Q12379,P16140,1
4732,P25491,Q12379,1
4733,P04385,P38129,1
4734,P38129,P15992,1
4735,P38129,P02557,1
4736,P16140,P38129,1
4737,P04147,P04786,1
4738,P06786,P04147,1
4739,P07251,P53632,1
4740,P00830,P53632,1
4741,P02557,P11978,1
4742,Q04477,P00924,1
4743,P32861,P06701,1
4744,P16140,P32911,1
4745,Q02793,P38885,1
4746,P34760,P32911,1
4747,P28241,P53196,1
4748,P16474,P53632,1
4749,P04147,P53632,1
4750,Q12464,P53632,1
4751,P02557,P53632,1
4752,P16649,P15992,1
4753,P00830,P52491,1
4754,P02994,P52491,1
4755,P25491,P52490,1
4756,P52490,P16140,1
4757,P54860,P25694,1
4758,P02829,P54860,1
4759,P07251,P39706,1
4760,P39706,P17709,1
4761,P32861,P39706,1
4762,P38197,P07251,1
4763,P38197,P17709,1
4764,P15992,P38254,1
4765,P25694,P38123,1
4766,P38319,P25694,1
4767,P07251,P38319,1
4768,P38319,P04385,1
4769,P38319,P09624,1
4770,P38319,P16140,1
4771,P38319,P25491,1
4772,P25569,P00830,1
4773,P00924,P25569,1
4774,P04147,P25569,1
4775,Q07381,P04147,1
4776,P00924,Q12154,1
4777,Q12063,P00830,1
4778,Q12063,P15992,1
4779,Q07623,P07149,1
4780,P07251,Q03944,1
4781,P00830,Q03944,1
4782,P15992,Q03944,1
4783,P16140,Q03944,1
4784,P25491,Q03944,1
4785,P25694,Q05583,1
4786,Q05583,P04385,1
4787,Q05583,P15992,1
4788,P07342,Q05583,1
4789,P38989,P04385,1
4790,P16140,P38989,1
4791,P53196,P16140,1
4792,P09624,P53082,1
4793,P04385,P53196,1
4794,P00924,P16649,1
4795,P53632,P16140,1
4796,P02557,Q03944,1
4797,Q03010,P00924,1
4798,P53632,P25491,1
4799,Q07623,P04147,1
4800,P04385,Q03944,1
4801,Q05583,P11986,1
4802,P15992,P53196,1
4803,Q04437,P25694,1
4804,Q12464,Q04437,1
4805,P32807,P04385,1
4806,P38883,P18239,1
4807,P15992,P38885,1
4808,P38885,P16474,1
4809,P40555,P07251,1
4810,P15992,P40555,1
4811,P02829,P32807,1
4812,P02557,P32807,1
4813,P32807,P00830,1
4814,P32807,P25694,1
4815,P32807,P15992,1
4816,P16140,P32807,1
4817,P32807,P25491,1
4818,Q04437,P07251,1
4819,P00830,Q04437,1
4820,P07149,Q04437,1
4821,P04385,Q04437,1
4822,P08518,Q04437,1
4823,Q04437,P02557,1
4824,P16140,Q04437,1
4825,Q04437,P25491,1
4826,Q04437,P17709,1
4827,Q04437,P02829,1
4828,Q04437,P09624,1
4829,Q04437,P18239,1
4830,Q04437,P02994,1
4831,Q07930,P00830,1
4832,Q07930,P04385,1
4833,P07251,Q06287,1
4834,Q06287,P02557,1
4835,P04397,Q06164,1
4836,P35845,P32794,1
4837,Q01477,P23639,1
4838,Q01477,P21243,1
4839,P04147,P40479,1
4840,P15992,Q04437,1
4841,P32807,P07251,1
4842,P04397,Q06287,1
4843,Q12245,P32379,1
4844,P52917,P52917,1
4845,P41695,P41695,1
4846,P48836,P22203,1
4847,P46673,P35729,1
4848,Q07794,P25293,1
4849,Q02939,Q3E7C1,1
4850,Q02939,Q02939,1
4851,Q3E7C1,Q3E7C1,1
4852,Q12245,Q07951,1
4853,P40303,P40303,1
4854,Q12245,P21243,1
4855,Q12245,P23639,1
4856,Q12245,P40302,1
4857,P21242,Q12245,1
4858,Q12245,P25043,1
4859,P80428,Q12464,1
4860,Q12245,P40303,1
4861,P23638,Q12245,1
4862,P87108,P36046,1
4863,P32639,P32639,1
4864,P46673,P49687,1
4865,P08153,P07834,1
4866,P07834,P03069,1
4867,Q08601,Q08601,1
4868,P32562,P14737,1
4869,P22216,P32562,1
4870,P38555,Q08484,1
4871,P35729,P36161,1
4872,Q12154,Q12154,1
4873,Q12306,P02293,1
4874,P30665,P24279,1
4875,P24279,P53091,1
